Tamanho da Entrada,Tempo de Execução (ms)
1,1
2,2
3,2
4,3
5,2
6,2
7,3
8,4
9,3
10,3
11,5
12,5
13,7
14,6
15,6
16,6
17,5
18,5
19,4
20,6
21,5
22,4
23,4
24,4
25,7
26,5
27,9
28,8
29,7
30,9
